dispatch_id,order_id,dispatch_date,days_late,delay_reason
DSP-2023-00001,SO-2023-00001,2023-02-01,-2,
DSP-2023-00002,SO-2023-00002,2023-01-10,-2,
DSP-2023-00003,SO-2023-00003,2023-02-02,-1,
DSP-2023-00004,SO-2023-00004,2023-02-14,-2,
DSP-2023-00005,SO-2023-00005,2023-02-13,6,Packaging delay
DSP-2023-00006,SO-2023-00006,2023-02-05,0,
DSP-2023-00007,SO-2023-00007,2023-02-06,3,Customer reschedule
DSP-2023-00008,SO-2023-00008,2023-02-14,4,Packaging delay
DSP-2023-00009,SO-2023-00009,2023-02-17,0,
DSP-2023-00010,SO-2023-00010,2023-02-03,-1,
DSP-2023-00011,SO-2023-00011,2023-02-19,4,Logistics scheduling
DSP-2023-00012,SO-2023-00012,2023-02-17,-1,
DSP-2023-00013,SO-2023-00013,2023-02-03,0,
DSP-2023-00014,SO-2023-00014,2023-02-06,0,
DSP-2023-00015,SO-2023-00015,2023-01-29,3,Logistics scheduling
DSP-2023-00016,SO-2023-00016,2023-01-14,-2,
DSP-2023-00017,SO-2023-00017,2023-02-04,-1,
DSP-2023-00018,SO-2023-00018,2023-02-15,-1,
DSP-2023-00019,SO-2023-00019,2023-02-07,-1,
DSP-2023-00020,SO-2023-00020,2023-01-09,-2,
DSP-2023-00021,SO-2023-00021,2023-02-10,0,
DSP-2023-00022,SO-2023-00022,2023-02-01,-1,
DSP-2023-00023,SO-2023-00023,2023-01-29,-2,
DSP-2023-00024,SO-2023-00024,2023-01-20,2,Logistics scheduling
DSP-2023-00025,SO-2023-00025,2023-02-18,6,Logistics scheduling
DSP-2023-00026,SO-2023-00026,2023-02-08,1,Logistics scheduling
DSP-2023-00027,SO-2023-00027,2023-02-14,2,Packaging delay
DSP-2023-00028,SO-2023-00028,2023-01-29,0,
DSP-2023-00029,SO-2023-00029,2023-01-29,-1,
DSP-2023-00030,SO-2023-00030,2023-01-21,0,
DSP-2023-00031,SO-2023-00031,2023-01-19,-1,
DSP-2023-00032,SO-2023-00032,2023-02-08,1,Material shortage
DSP-2023-00033,SO-2023-00033,2023-01-28,-2,
DSP-2023-00034,SO-2023-00034,2023-02-01,-2,
DSP-2023-00035,SO-2023-00035,2023-02-09,-1,
DSP-2023-00036,SO-2023-00036,2023-02-10,2,QC hold
DSP-2023-00037,SO-2023-00037,2023-01-25,-2,
DSP-2023-00038,SO-2023-00038,2023-02-09,0,
DSP-2023-00039,SO-2023-00039,2023-02-15,-1,
DSP-2023-00040,SO-2023-00040,2023-01-07,-2,
DSP-2023-00041,SO-2023-00041,2023-02-16,0,
DSP-2023-00042,SO-2023-00042,2023-01-20,0,
DSP-2023-00043,SO-2023-00043,2023-01-20,-2,
DSP-2023-00044,SO-2023-00044,2023-01-29,-1,
DSP-2023-00045,SO-2023-00045,2023-01-22,1,Packaging delay
DSP-2023-00046,SO-2023-00046,2023-01-15,0,
DSP-2023-00047,SO-2023-00047,2023-01-31,1,Production backlog
DSP-2023-00048,SO-2023-00048,2023-01-31,2,Material shortage
DSP-2023-00049,SO-2023-00049,2023-02-05,-2,
DSP-2023-00050,SO-2023-00050,2023-01-19,0,
DSP-2023-00051,SO-2023-00051,2023-02-06,-2,
DSP-2023-00052,SO-2023-00052,2023-01-30,-1,
DSP-2023-00053,SO-2023-00053,2023-02-06,-2,
DSP-2023-00054,SO-2023-00054,2023-02-18,1,Logistics scheduling
DSP-2023-00055,SO-2023-00055,2023-01-12,0,
DSP-2023-00056,SO-2023-00056,2023-02-05,-2,
DSP-2023-00057,SO-2023-00057,2023-01-09,0,
DSP-2023-00058,SO-2023-00058,2023-02-18,-1,
DSP-2023-00059,SO-2023-00059,2023-02-07,0,
DSP-2023-00060,SO-2023-00060,2023-01-19,-1,
DSP-2023-00061,SO-2023-00061,2023-01-24,0,
DSP-2023-00062,SO-2023-00062,2023-01-26,-1,
DSP-2023-00063,SO-2023-00063,2023-02-08,-2,
