mr_id,order_id,sku,mr_raised_date,mr_fulfilled_date,shortage_flag,shortage_qty
MR-2023-00001,SO-2023-00001,IND-COB-001,2023-01-20 08:04:00,2023-01-20 08:19:00,False,0
MR-2023-00002,SO-2023-00002,IND-BAT-001,2023-01-08 07:58:00,2023-01-08 08:19:00,False,0
MR-2023-00003,SO-2023-00003,IND-BAT-001,2023-01-20 14:42:00,2023-01-20 14:54:00,False,0
MR-2023-00004,SO-2023-00004,OUT-FLD-001,2023-02-01 12:58:00,2023-02-01 13:37:00,False,0
MR-2023-00005,SO-2023-00005,IND-PAN-001,2023-01-20 12:46:00,2023-01-20 13:28:00,False,0
MR-2023-00006,SO-2023-00006,IND-BAT-001,2023-01-18 10:08:00,2023-01-18 18:23:00,True,33
MR-2023-00007,SO-2023-00007,IND-EPL-001,2023-01-18 09:24:00,2023-01-18 09:47:00,False,0
MR-2023-00008,SO-2023-00008,IND-HBU-001,2023-01-29 07:15:00,2023-01-29 07:56:00,False,0
MR-2023-00009,SO-2023-00009,IND-EPL-001,2023-01-29 14:02:00,2023-01-29 14:42:00,False,0
MR-2023-00010,SO-2023-00010,IND-BLB-001,2023-01-18 10:32:00,2023-01-18 10:50:00,False,0
MR-2023-00011,SO-2023-00011,IND-PAN-001,2023-02-02 11:17:00,2023-02-02 11:56:00,False,0
MR-2023-00012,SO-2023-00012,IND-EPL-001,2023-02-02 08:22:00,2023-02-02 09:04:00,False,0
MR-2023-00013,SO-2023-00013,OUT-FLD-001,2023-01-18 10:09:00,2023-01-18 10:52:00,False,0
MR-2023-00014,SO-2023-00014,IND-HBU-001,2023-01-21 10:08:00,2023-01-21 10:23:00,False,0
MR-2023-00015,SO-2023-00015,IND-WGL-001,2023-01-13 13:41:00,2023-01-13 13:58:00,False,0
MR-2023-00016,SO-2023-00016,OUT-FLD-001,2023-01-04 07:57:00,2023-01-04 08:26:00,False,0
MR-2023-00017,SO-2023-00017,IND-COB-001,2023-02-02 13:19:00,2023-02-02 20:13:00,True,10
MR-2023-00018,SO-2023-00018,IND-BAT-001,2023-02-01 09:30:00,2023-02-01 12:53:00,True,24
MR-2023-00019,SO-2023-00019,IND-WGL-001,2023-01-27 12:18:00,2023-01-27 12:44:00,False,0
MR-2023-00020,SO-2023-00020,OUT-FLD-001,2023-01-06 09:07:00,2023-01-06 09:32:00,False,0
MR-2023-00021,SO-2023-00021,IND-COB-001,2023-01-29 08:13:00,2023-01-29 15:08:00,True,5
MR-2023-00022,SO-2023-00022,IND-BLB-001,2023-01-26 13:26:00,2023-01-26 14:06:00,False,0
MR-2023-00023,SO-2023-00023,OUT-FLD-001,2023-01-15 11:48:00,2023-01-15 12:03:00,False,0
MR-2023-00024,SO-2023-00024,IND-EPL-001,2023-01-06 11:53:00,2023-01-06 12:13:00,False,0
MR-2023-00025,SO-2023-00025,IND-BLB-001,2023-01-28 09:31:00,2023-01-28 09:50:00,False,0
MR-2023-00026,SO-2023-00026,IND-HBU-001,2023-02-02 13:15:00,2023-02-02 13:43:00,False,0
MR-2023-00027,SO-2023-00027,IND-COB-001,2023-01-26 11:48:00,2023-01-26 12:14:00,False,0
MR-2023-00028,SO-2023-00028,IND-BAT-001,2023-01-24 08:26:00,2023-01-24 10:25:00,True,39
MR-2023-00029,SO-2023-00029,IND-COB-001,2023-01-28 07:50:00,2023-01-28 08:09:00,False,0
MR-2023-00030,SO-2023-00030,IND-BAT-001,2023-01-03 11:57:00,2023-01-03 12:33:00,False,0
MR-2023-00031,SO-2023-00031,IND-BAT-001,2023-01-05 13:07:00,2023-01-05 13:23:00,False,0
MR-2023-00032,SO-2023-00032,IND-EPL-001,2023-02-03 08:39:00,2023-02-03 09:04:00,False,0
MR-2023-00033,SO-2023-00033,IND-BAT-001,2023-01-27 12:27:00,2023-01-27 12:44:00,False,0
MR-2023-00034,SO-2023-00034,IND-EPL-001,2023-01-20 12:51:00,2023-01-20 13:16:00,False,0
MR-2023-00035,SO-2023-00035,IND-PAN-001,2023-01-26 13:28:00,2023-01-26 14:03:00,False,0
MR-2023-00036,SO-2023-00036,IND-HBU-001,2023-01-26 08:12:00,2023-01-26 08:52:00,False,0
MR-2023-00037,SO-2023-00037,IND-WGL-001,2023-01-11 13:35:00,2023-01-11 14:11:00,False,0
MR-2023-00038,SO-2023-00038,OUT-FLD-001,2023-01-26 10:55:00,2023-01-26 11:17:00,False,0
MR-2023-00039,SO-2023-00039,IND-COB-001,2023-02-04 07:57:00,2023-02-04 08:23:00,False,0
MR-2023-00040,SO-2023-00040,IND-COB-001,2023-01-06 07:53:00,2023-01-06 08:24:00,False,0
MR-2023-00041,SO-2023-00041,IND-EPL-001,2023-02-02 10:04:00,2023-02-02 10:31:00,False,0
MR-2023-00042,SO-2023-00042,IND-EPL-001,2023-01-16 12:04:00,2023-01-16 12:31:00,False,0
MR-2023-00043,SO-2023-00043,IND-WGL-001,2023-01-08 10:35:00,2023-01-08 10:45:00,False,0
MR-2023-00044,SO-2023-00044,OUT-STR-001,2023-01-26 14:47:00,2023-01-26 15:01:00,False,0
MR-2023-00045,SO-2023-00045,OUT-FLD-001,2023-01-07 13:43:00,2023-01-07 14:17:00,False,0
MR-2023-00046,SO-2023-00046,IND-BAT-001,2023-01-09 12:04:00,2023-01-09 12:46:00,False,0
MR-2023-00047,SO-2023-00047,IND-HBU-001,2023-01-11 12:14:00,2023-01-11 18:42:00,True,7
MR-2023-00048,SO-2023-00048,OUT-FLD-001,2023-01-15 12:43:00,2023-01-15 13:05:00,False,0
MR-2023-00049,SO-2023-00049,OUT-FLD-001,2023-01-26 13:38:00,2023-01-26 14:18:00,False,0
MR-2023-00050,SO-2023-00050,IND-BLB-001,2023-01-05 11:06:00,2023-01-05 11:29:00,False,0
MR-2023-00051,SO-2023-00051,IND-BAT-001,2023-01-25 11:53:00,2023-01-25 12:12:00,False,0
MR-2023-00052,SO-2023-00052,OUT-FLD-001,2023-01-12 13:35:00,2023-01-12 14:18:00,False,0
MR-2023-00053,SO-2023-00053,IND-WGL-001,2023-02-01 08:09:00,2023-02-01 08:30:00,False,0
MR-2023-00054,SO-2023-00054,IND-WGL-001,2023-01-28 11:58:00,2023-01-28 12:27:00,False,0
MR-2023-00055,SO-2023-00055,IND-WGL-001,2023-01-08 13:34:00,2023-01-08 14:17:00,False,0
MR-2023-00056,SO-2023-00056,IND-COB-001,2023-01-20 12:17:00,2023-01-20 13:54:00,True,10
MR-2023-00057,SO-2023-00057,OUT-FLD-001,2023-01-06 12:55:00,2023-01-06 13:29:00,False,0
MR-2023-00058,SO-2023-00058,OUT-FLD-001,2023-02-01 11:53:00,2023-02-01 12:26:00,False,0
MR-2023-00059,SO-2023-00059,OUT-FLD-001,2023-01-20 08:56:00,2023-01-20 09:12:00,False,0
MR-2023-00060,SO-2023-00060,IND-WGL-001,2023-01-09 07:09:00,2023-01-09 07:42:00,False,0
MR-2023-00061,SO-2023-00061,IND-EPL-001,2023-01-17 13:44:00,2023-01-17 14:05:00,False,0
MR-2023-00062,SO-2023-00062,IND-BLB-001,2023-01-19 14:53:00,2023-01-19 15:34:00,False,0
MR-2023-00063,SO-2023-00063,IND-WGL-001,2023-01-26 14:47:00,2023-01-26 15:27:00,False,0
MR-2023-00064,SO-2023-00064,OUT-FLD-001,2023-01-28 09:17:00,2023-01-28 09:59:00,False,0
MR-2023-00065,SO-2023-00065,IND-EPL-001,2023-01-19 11:44:00,2023-01-19 12:27:00,False,0
MR-2023-00066,SO-2023-00066,IND-BLB-001,2023-01-04 07:23:00,2023-01-04 07:50:00,False,0
MR-2023-00067,SO-2023-00067,IND-BAT-001,2023-02-02 07:37:00,2023-02-02 07:49:00,False,0
MR-2023-00068,SO-2023-00068,IND-HBU-001,2023-01-12 13:20:00,2023-01-12 13:35:00,False,0
MR-2023-00069,SO-2023-00069,IND-COB-001,2023-01-26 13:14:00,2023-01-26 20:34:00,True,9
MR-2023-00070,SO-2023-00070,IND-BAT-001,2023-01-20 09:24:00,2023-01-20 10:08:00,False,0
MR-2023-00071,SO-2023-00071,IND-PAN-001,2023-02-02 11:16:00,2023-02-02 11:51:00,False,0
MR-2023-00072,SO-2023-00072,IND-BAT-001,2023-01-27 09:38:00,2023-01-27 10:03:00,False,0
MR-2023-00073,SO-2023-00073,IND-PAN-001,2023-01-14 08:17:00,2023-01-14 08:29:00,False,0
MR-2023-00074,SO-2023-00074,IND-COB-001,2023-01-04 08:48:00,2023-01-04 15:48:00,True,2
MR-2023-00075,SO-2023-00075,IND-BAT-001,2023-01-16 09:36:00,2023-01-16 10:07:00,False,0
MR-2023-00076,SO-2023-00076,IND-COB-001,2023-02-02 13:36:00,2023-02-02 13:57:00,False,0
MR-2023-00077,SO-2023-00077,IND-WGL-001,2023-02-03 07:20:00,2023-02-03 07:34:00,False,0
MR-2023-00078,SO-2023-00078,IND-EPL-001,2023-01-28 10:55:00,2023-01-28 11:22:00,False,0
MR-2023-00079,SO-2023-00079,IND-BAT-001,2023-01-30 12:22:00,2023-01-30 12:36:00,False,0
MR-2023-00080,SO-2023-00080,IND-BLB-001,2023-01-08 09:09:00,2023-01-08 09:31:00,False,0
MR-2023-00081,SO-2023-00081,IND-WGL-001,2023-01-06 08:28:00,2023-01-06 08:51:00,False,0
MR-2023-00082,SO-2023-00082,OUT-STR-001,2023-01-28 09:54:00,2023-01-28 10:30:00,False,0
MR-2023-00083,SO-2023-00083,IND-EPL-001,2023-01-22 13:53:00,2023-01-22 14:09:00,False,0
MR-2023-00084,SO-2023-00084,IND-PAN-001,2023-01-05 08:11:00,2023-01-05 08:55:00,False,0
MR-2023-00085,SO-2023-00085,IND-PAN-001,2023-02-02 12:26:00,2023-02-02 15:13:00,True,12
MR-2023-00086,SO-2023-00086,IND-WGL-001,2023-01-26 13:24:00,2023-01-26 13:37:00,False,0
MR-2023-00087,SO-2023-00087,IND-BLB-001,2023-01-20 14:37:00,2023-01-20 14:47:00,False,0
MR-2023-00088,SO-2023-00088,IND-COB-001,2023-01-11 10:47:00,2023-01-11 11:04:00,False,0
MR-2023-00089,SO-2023-00089,IND-BAT-001,2023-01-12 14:15:00,2023-01-12 14:46:00,False,0
MR-2023-00090,SO-2023-00090,IND-WGL-001,2023-01-21 08:41:00,2023-01-21 08:51:00,False,0
MR-2023-00091,SO-2023-00091,OUT-FLD-001,2023-01-13 09:33:00,2023-01-13 10:12:00,False,0
MR-2023-00092,SO-2023-00092,OUT-FLD-001,2023-02-02 08:49:00,2023-02-02 09:06:00,False,0
MR-2023-00093,SO-2023-00093,IND-BLB-001,2023-01-11 08:35:00,2023-01-11 09:05:00,False,0
MR-2023-00094,SO-2023-00094,IND-BAT-001,2023-01-19 14:49:00,2023-01-19 20:24:00,True,21
MR-2023-00095,SO-2023-00095,IND-COB-001,2023-01-07 12:05:00,2023-01-07 12:41:00,False,0
MR-2023-00096,SO-2023-00096,OUT-FLD-001,2023-01-28 08:31:00,2023-01-28 08:48:00,False,0
MR-2023-00097,SO-2023-00097,OUT-STR-001,2023-01-06 12:05:00,2023-01-06 12:21:00,False,0
MR-2023-00098,SO-2023-00098,IND-BAT-001,2023-01-13 08:31:00,2023-01-13 09:09:00,False,0
MR-2023-00099,SO-2023-00099,IND-PAN-001,2023-02-01 08:45:00,2023-02-01 09:27:00,False,0
MR-2023-00100,SO-2023-00100,IND-EPL-001,2023-01-29 14:11:00,2023-01-29 14:33:00,False,0
MR-2023-00101,SO-2023-00101,IND-EPL-001,2023-01-29 10:22:00,2023-01-29 10:38:00,False,0
MR-2023-00102,SO-2023-00102,IND-COB-001,2023-01-14 14:16:00,2023-01-14 14:30:00,False,0
MR-2023-00103,SO-2023-00103,IND-BLB-001,2023-02-02 14:08:00,2023-02-02 14:37:00,False,0
MR-2023-00104,SO-2023-00104,IND-WGL-001,2023-02-01 08:31:00,2023-02-01 08:55:00,False,0
MR-2023-00105,SO-2023-00105,IND-PAN-001,2023-01-29 12:03:00,2023-01-29 12:28:00,False,0
MR-2023-00106,SO-2023-00106,IND-WGL-001,2023-01-04 07:50:00,2023-01-04 11:14:00,True,2
MR-2023-00107,SO-2023-00107,OUT-FLD-001,2023-01-28 11:46:00,2023-01-28 12:04:00,False,0
MR-2023-00108,SO-2023-00108,OUT-FLD-001,2023-01-31 14:04:00,2023-01-31 14:20:00,False,0
MR-2023-00109,SO-2023-00109,IND-BAT-001,2023-02-02 14:10:00,2023-02-02 14:38:00,False,0
MR-2023-00110,SO-2023-00110,IND-COB-001,2023-01-26 13:12:00,2023-01-26 13:33:00,False,0
MR-2023-00111,SO-2023-00111,IND-HBU-001,2023-01-22 07:24:00,2023-01-22 08:08:00,False,0
MR-2023-00112,SO-2023-00112,IND-WGL-001,2023-01-21 13:49:00,2023-01-21 14:20:00,False,0
MR-2023-00113,SO-2023-00113,IND-BAT-001,2023-01-13 07:41:00,2023-01-13 08:01:00,False,0
MR-2023-00114,SO-2023-00114,IND-BLB-001,2023-02-03 12:03:00,2023-02-03 12:34:00,False,0
MR-2023-00115,SO-2023-00115,OUT-STR-001,2023-01-07 12:35:00,2023-01-07 12:56:00,False,0
MR-2023-00116,SO-2023-00116,IND-BLB-001,2023-01-26 14:58:00,2023-01-26 15:19:00,False,0
MR-2023-00117,SO-2023-00117,IND-PAN-001,2023-01-10 10:08:00,2023-01-10 10:24:00,False,0
MR-2023-00118,SO-2023-00118,IND-BLB-001,2023-01-26 10:54:00,2023-01-26 11:33:00,False,0
MR-2023-00119,SO-2023-00119,IND-PAN-001,2023-01-26 09:00:00,2023-01-26 09:18:00,False,0
MR-2023-00120,SO-2023-00120,OUT-STR-001,2023-02-03 14:12:00,2023-02-03 14:38:00,False,0
MR-2023-00121,SO-2023-00121,IND-HBU-001,2023-01-05 08:35:00,2023-01-05 08:56:00,False,0
MR-2023-00122,SO-2023-00122,IND-PAN-001,2023-01-07 10:06:00,2023-01-07 10:40:00,False,0
MR-2023-00123,SO-2023-00123,IND-HBU-001,2023-02-02 12:53:00,2023-02-02 13:10:00,False,0
MR-2023-00124,SO-2023-00124,IND-PAN-001,2023-01-23 08:35:00,2023-01-23 08:45:00,False,0
MR-2023-00125,SO-2023-00125,IND-HBU-001,2023-01-13 07:49:00,2023-01-13 08:25:00,False,0
MR-2023-00126,SO-2023-00126,IND-COB-001,2023-02-25 11:11:00,2023-02-25 11:51:00,False,0
MR-2023-00127,SO-2023-00127,IND-HBU-001,2023-02-03 10:38:00,2023-02-03 15:23:00,True,11
MR-2023-00128,SO-2023-00128,IND-HBU-001,2023-02-17 09:03:00,2023-02-17 09:30:00,False,0
MR-2023-00129,SO-2023-00129,OUT-STR-001,2023-02-24 08:45:00,2023-02-24 09:10:00,False,0
MR-2023-00130,SO-2023-00130,OUT-STR-001,2023-02-17 10:06:00,2023-02-17 10:29:00,False,0
MR-2023-00131,SO-2023-00131,OUT-STR-001,2023-02-09 08:23:00,2023-02-09 08:43:00,False,0
MR-2023-00132,SO-2023-00132,IND-WGL-001,2023-02-25 09:29:00,2023-02-25 09:55:00,False,0
MR-2023-00133,SO-2023-00133,OUT-FLD-001,2023-02-11 07:13:00,2023-02-11 07:56:00,False,0
MR-2023-00134,SO-2023-00134,OUT-STR-001,2023-02-20 13:33:00,2023-02-20 14:15:00,False,0
MR-2023-00135,SO-2023-00135,IND-BLB-001,2023-02-24 08:06:00,2023-02-24 08:35:00,False,0
MR-2023-00136,SO-2023-00136,OUT-FLD-001,2023-02-25 11:48:00,2023-02-25 12:25:00,False,0
MR-2023-00137,SO-2023-00137,IND-BLB-001,2023-02-09 10:49:00,2023-02-09 11:20:00,False,0
MR-2023-00138,SO-2023-00138,IND-HBU-001,2023-02-17 11:45:00,2023-02-17 12:00:00,False,0
MR-2023-00139,SO-2023-00139,IND-BLB-001,2023-02-22 08:08:00,2023-02-22 08:45:00,False,0
MR-2023-00140,SO-2023-00140,OUT-FLD-001,2023-02-11 12:26:00,2023-02-11 12:56:00,False,0
MR-2023-00141,SO-2023-00141,IND-HBU-001,2023-02-22 12:44:00,2023-02-22 15:02:00,True,6
MR-2023-00142,SO-2023-00142,IND-WGL-001,2023-02-13 12:40:00,2023-02-13 13:21:00,False,0
MR-2023-00143,SO-2023-00143,IND-BAT-001,2023-02-18 14:09:00,2023-02-18 14:52:00,False,0
MR-2023-00144,SO-2023-00144,IND-BLB-001,2023-02-08 14:07:00,2023-02-08 14:23:00,False,0
MR-2023-00145,SO-2023-00145,OUT-STR-001,2023-02-22 14:45:00,2023-02-22 15:23:00,False,0
MR-2023-00146,SO-2023-00146,IND-BAT-001,2023-02-14 13:21:00,2023-02-14 13:51:00,False,0
MR-2023-00147,SO-2023-00147,IND-HBU-001,2023-02-28 07:34:00,2023-02-28 07:53:00,False,0
MR-2023-00148,SO-2023-00148,IND-BAT-001,2023-02-19 13:09:00,2023-02-19 13:30:00,False,0
MR-2023-00149,SO-2023-00149,IND-PAN-001,2023-02-03 12:02:00,2023-02-03 12:45:00,False,0
MR-2023-00150,SO-2023-00150,IND-BAT-001,2023-03-05 11:31:00,2023-03-05 12:13:00,False,0
MR-2023-00151,SO-2023-00151,IND-PAN-001,2023-02-11 08:18:00,2023-02-11 08:49:00,False,0
MR-2023-00152,SO-2023-00152,IND-PAN-001,2023-02-28 12:48:00,2023-02-28 13:14:00,False,0
MR-2023-00153,SO-2023-00153,IND-COB-001,2023-02-11 09:26:00,2023-02-11 09:39:00,False,0
MR-2023-00154,SO-2023-00154,IND-BAT-001,2023-02-03 12:11:00,2023-02-03 12:49:00,False,0
MR-2023-00155,SO-2023-00155,IND-HBU-001,2023-02-11 13:08:00,2023-02-11 13:36:00,False,0
MR-2023-00156,SO-2023-00156,IND-PAN-001,2023-02-23 10:29:00,2023-02-23 10:57:00,False,0
MR-2023-00157,SO-2023-00157,IND-BLB-001,2023-02-14 07:10:00,2023-02-14 11:30:00,True,19
MR-2023-00158,SO-2023-00158,IND-WGL-001,2023-02-08 12:20:00,2023-02-08 12:37:00,False,0
MR-2023-00159,SO-2023-00159,IND-COB-001,2023-03-01 12:08:00,2023-03-01 12:35:00,False,0
MR-2023-00160,SO-2023-00160,IND-BLB-001,2023-02-18 08:15:00,2023-02-18 08:53:00,False,0
MR-2023-00161,SO-2023-00161,IND-BAT-001,2023-02-08 11:38:00,2023-02-08 12:17:00,False,0
