prod_log_id,date,shift_id,line_id,sku,planned_units,actual_units,planned_runtime_mins,actual_runtime_mins,downtime_mins,downtime_reason,ideal_cycle_time_sec,planned_operators,actual_operators,overtime_hours
1,2023-01-02,1,1,OUT-FLD-001,425,361,450,417,33,,55,8,6,5.9
2,2023-01-02,2,1,OUT-FLD-001,425,304,450,357,93,MANPOWER_SHORT,55,8,7,0.0
3,2023-01-02,1,2,IND-WGL-001,668,570,450,405,45,CLEANING_MAINTENANCE,35,6,5,1.0
4,2023-01-02,2,2,IND-WGL-001,668,577,450,423,27,,35,6,5,2.4
5,2023-01-02,1,3,IND-WGL-001,668,505,450,345,105,MANPOWER_SHORT,35,5,4,0.0
6,2023-01-02,2,3,IND-WGL-001,668,499,450,357,93,MACHINE_FAULT,35,5,4,0.0
7,2023-01-03,1,1,OUT-FLD-001,425,397,450,444,6,,55,8,7,0.0
8,2023-01-03,2,1,OUT-FLD-001,425,323,450,399,51,,55,8,6,0.0
9,2023-01-03,1,2,IND-WGL-001,668,580,450,412,38,,35,6,5,1.5
10,2023-01-03,2,2,IND-WGL-001,668,526,450,364,86,MANPOWER_SHORT,35,6,5,0.0
11,2023-01-03,1,3,IND-WGL-001,668,451,450,322,128,LED_CHIP_SHORTAGE_SUPPLIER,35,5,4,0.0
12,2023-01-03,2,3,IND-WGL-001,668,486,450,351,99,MANPOWER_SHORT,35,5,4,3.5
13,2023-01-04,1,1,OUT-FLD-001,425,364,450,410,40,CLEANING_MAINTENANCE,55,8,6,0.0
14,2023-01-04,2,1,OUT-FLD-001,425,342,450,373,77,MANPOWER_SHORT,55,8,6,2.8
15,2023-01-04,1,2,IND-WGL-001,668,596,450,427,23,,35,6,5,2.9
16,2023-01-04,2,2,IND-WGL-001,668,549,450,377,73,MATERIAL_SHORTAGE_INTERNAL,35,6,5,1.2
17,2023-01-04,1,3,IND-WGL-001,668,574,450,430,20,,35,5,4,0.0
18,2023-01-04,2,3,IND-BAT-001,836,524,450,316,134,CHANGEOVER,28,5,4,2.1
19,2023-01-05,1,1,OUT-FLD-001,425,306,450,341,109,MANPOWER_SHORT,55,8,6,0.0
20,2023-01-05,2,1,IND-BAT-001,836,559,450,335,115,CHANGEOVER,28,8,6,5.4
21,2023-01-05,1,2,IND-HBU-001,360,233,450,309,141,CHANGEOVER,65,6,5,4.1
