qc_id,batch_id,stage,sku,inspected_date,units_inspected,units_passed,units_rejected,defect_reason
1,B-000001,PRODUCTION_QC,OUT-FLD-001,2023-01-02,361,346,15,DUST_CONTAMINATION
2,B-000001,PACKAGING_QC,OUT-FLD-001,2023-01-02,346,340,6,DUST_CONTAMINATION
3,B-000002,PRODUCTION_QC,OUT-FLD-001,2023-01-02,304,295,9,LUMEN_OUT_OF_SPEC
4,B-000002,PACKAGING_QC,OUT-FLD-001,2023-01-02,295,293,2,SOLDER_FAIL
5,B-000003,PRODUCTION_QC,IND-WGL-001,2023-01-02,570,557,13,HOUSING_DAMAGE_ASSEMBLY
6,B-000003,PACKAGING_QC,IND-WGL-001,2023-01-02,557,549,8,DRIVER_FAULT
7,B-000004,PRODUCTION_QC,IND-WGL-001,2023-01-02,577,555,22,SOLDER_FAIL
8,B-000004,PACKAGING_QC,IND-WGL-001,2023-01-02,555,549,6,POOR_PACKAGING
9,B-000005,PRODUCTION_QC,IND-WGL-001,2023-01-02,505,491,14,POOR_PACKAGING
10,B-000005,PACKAGING_QC,IND-WGL-001,2023-01-02,491,483,8,HOUSING_SCRATCH
11,B-000006,PRODUCTION_QC,IND-WGL-001,2023-01-02,499,481,18,DRIVER_FAULT
12,B-000006,PACKAGING_QC,IND-WGL-001,2023-01-02,481,476,5,HOUSING_DAMAGE_ASSEMBLY
13,B-000007,PRODUCTION_QC,OUT-FLD-001,2023-01-03,397,387,10,DUST_CONTAMINATION
14,B-000007,PACKAGING_QC,OUT-FLD-001,2023-01-03,387,382,5,LUMEN_OUT_OF_SPEC
15,B-000008,PRODUCTION_QC,OUT-FLD-001,2023-01-03,323,310,13,DUST_CONTAMINATION
16,B-000008,PACKAGING_QC,OUT-FLD-001,2023-01-03,310,308,2,HOUSING_DAMAGE_ASSEMBLY
17,B-000009,PRODUCTION_QC,IND-WGL-001,2023-01-03,580,564,16,DUST_CONTAMINATION
18,B-000009,PACKAGING_QC,IND-WGL-001,2023-01-03,564,557,7,SOLDER_FAIL
19,B-000010,PRODUCTION_QC,IND-WGL-001,2023-01-03,526,512,14,HOUSING_SCRATCH
20,B-000010,PACKAGING_QC,IND-WGL-001,2023-01-03,512,509,3,POOR_PACKAGING
21,B-000011,PRODUCTION_QC,IND-WGL-001,2023-01-03,451,439,12,COLOR_CONTAMINATION
22,B-000011,PACKAGING_QC,IND-WGL-001,2023-01-03,439,434,5,POOR_PACKAGING
23,B-000012,PRODUCTION_QC,IND-WGL-001,2023-01-03,486,474,12,HOUSING_DAMAGE_ASSEMBLY
24,B-000012,PACKAGING_QC,IND-WGL-001,2023-01-03,474,467,7,COLOR_CONTAMINATION
25,B-000013,PRODUCTION_QC,OUT-FLD-001,2023-01-04,364,348,16,FLICKER
26,B-000013,PACKAGING_QC,OUT-FLD-001,2023-01-04,348,341,7,POOR_PACKAGING
27,B-000014,PRODUCTION_QC,OUT-FLD-001,2023-01-04,342,330,12,HOUSING_SCRATCH
28,B-000014,PACKAGING_QC,OUT-FLD-001,2023-01-04,330,324,6,POOR_PACKAGING
29,B-000015,PRODUCTION_QC,IND-WGL-001,2023-01-04,596,577,19,DUST_CONTAMINATION
30,B-000015,PACKAGING_QC,IND-WGL-001,2023-01-04,577,564,13,POOR_PACKAGING
31,B-000016,PRODUCTION_QC,IND-WGL-001,2023-01-04,549,532,17,DUST_CONTAMINATION
32,B-000016,PACKAGING_QC,IND-WGL-001,2023-01-04,532,524,8,HOUSING_DAMAGE_ASSEMBLY
33,B-000017,PRODUCTION_QC,IND-WGL-001,2023-01-04,574,554,20,HOUSING_DAMAGE_ASSEMBLY
34,B-000017,PACKAGING_QC,IND-WGL-001,2023-01-04,554,550,4,HOUSING_DAMAGE_ASSEMBLY
