order_id,customer_id,sku,order_date,promised_date,qty_ordered,unit_price_eur,priority
SO-2023-00001,3,IND-COB-001,2023-01-18,2023-02-03,19,14.22,Standard
SO-2023-00002,7,IND-BAT-001,2023-01-05,2023-01-12,294,18.7,VIP
SO-2023-00003,1,IND-BAT-001,2023-01-18,2023-02-03,403,18.35,Standard
SO-2023-00004,1,OUT-FLD-001,2023-01-30,2023-02-16,194,47.53,Standard
SO-2023-00005,3,IND-PAN-001,2023-01-18,2023-02-07,64,30.23,Standard
SO-2023-00006,7,IND-BAT-001,2023-01-16,2023-02-05,471,18.62,Standard
SO-2023-00007,7,IND-EPL-001,2023-01-16,2023-02-03,101,36.33,Standard
SO-2023-00008,7,IND-HBU-001,2023-01-27,2023-02-10,11,83.69,Standard
SO-2023-00009,4,IND-EPL-001,2023-01-27,2023-02-17,303,36.29,Standard
SO-2023-00010,4,IND-BLB-001,2023-01-17,2023-02-04,152,3.99,Standard
SO-2023-00011,1,IND-PAN-001,2023-01-30,2023-02-15,287,30.92,Standard
SO-2023-00012,1,IND-EPL-001,2023-01-30,2023-02-18,188,35.61,Standard
SO-2023-00013,2,OUT-FLD-001,2023-01-16,2023-02-03,166,48.61,Standard
SO-2023-00014,7,IND-HBU-001,2023-01-19,2023-02-06,96,84.39,Standard
SO-2023-00015,7,IND-WGL-001,2023-01-12,2023-01-26,21,26.42,Standard
SO-2023-00016,5,OUT-FLD-001,2023-01-02,2023-01-16,125,48.24,Standard
SO-2023-00017,2,IND-COB-001,2023-01-31,2023-02-05,56,14.07,Urgent
SO-2023-00018,1,IND-BAT-001,2023-01-31,2023-02-16,383,18.59,Standard
SO-2023-00019,3,IND-WGL-001,2023-01-24,2023-02-08,17,26.35,Standard
SO-2023-00020,5,OUT-FLD-001,2023-01-04,2023-01-11,143,45.86,VIP
SO-2023-00021,5,IND-COB-001,2023-01-26,2023-02-10,43,14.22,Standard
SO-2023-00022,6,IND-BLB-001,2023-01-23,2023-02-02,181,3.89,Urgent
SO-2023-00023,1,OUT-FLD-001,2023-01-13,2023-01-31,76,48.18,Standard
SO-2023-00024,4,IND-EPL-001,2023-01-03,2023-01-18,390,36.36,Standard
SO-2023-00025,1,IND-BLB-001,2023-01-26,2023-02-12,389,3.95,Standard
SO-2023-00026,5,IND-HBU-001,2023-01-30,2023-02-07,82,83.78,Urgent
